,flag,rolling_rank_diff,rolling_rank points_diff,rolling_ace_per_svpt_diff,rolling_df_per_svpt_diff,rolling_1stIn_per_svpt_diff,rolling_1stWon_per_svpt_diff,rolling_2ndWon_per_svpt_diff,rolling_bpSaved_per_svpt_diff,rolling_bpFaced_per_svpt_diff,rolling_bpSaved_per_bpFaced_diff
7536,1,-27.13333,455.16666999999995,0.014910000000000007,-0.010619999999999997,0.014339999999999908,0.034469999999999945,-0.008960000000000024,-0.006599999999999995,-0.010649999999999993,0.003369999999999984
7537,1,-18.06666,795.96667,0.015030000000000002,-0.012220000000000002,0.02742,0.028189999999999993,-0.00272,-0.005769999999999997,-0.005660000000000012,-0.024469999999999992
7538,0,-21.066669999999995,-81.93333000000007,0.03795000000000001,0.01097,-0.009199999999999986,0.00494,0.004250000000000004,-0.00213,-0.0018800000000000067,-0.038199999999999956
7539,0,1.3333399999999997,-840.26667,0.016340000000000007,0.017759999999999998,-0.0230999999999999,-0.0029899999999999927,-0.004510000000000014,-0.007510000000000003,-0.00895,0.0040200000000000236
7540,0,-40.599999999999994,354.29999999999995,0.002019999999999994,0.009940000000000004,-0.012849999999999917,-0.0047699999999999965,0.008560000000000012,-0.00909,-0.00673,-0.07402000000000003
7541,1,3.5,-93.06665999999996,0.008370000000000002,-0.0002500000000000002,-0.010340000000000016,-0.003469999999999973,0.011119999999999991,0.0006999999999999992,-0.0005200000000000066,-0.01529999999999998
7542,1,-9.866670000000006,783.9000000000001,0.010080000000000006,-0.00858,0.013450000000000073,0.0018599999999999728,0.010459999999999997,-0.0020000000000000018,-0.0014100000000000085,-0.042139999999999955
7543,0,-4.8333299999999895,221.89999999999986,-0.0048799999999999955,0.0037500000000000033,-0.0006900000000000794,0.0037499999999999756,-0.0024000000000000132,0.00014000000000000123,-0.0009799999999999948,0.035199999999999954
7544,0,-40.333330000000004,-133.0,0.044160000000000005,0.014700000000000001,-0.0025800000000000267,0.024459999999999982,-0.0018499999999999905,-0.005969999999999996,-0.010829999999999992,0.0047699999999999965
7545,0,-25.36667,164.20000000000005,-0.013429999999999997,0.010839999999999995,-0.02747999999999995,-0.025639999999999996,0.013580000000000009,0.004149999999999994,0.005099999999999993,-0.0020100000000000118
7546,0,-7.0,54.66667000000007,0.005219999999999975,0.00011999999999999511,-0.006330000000000058,-0.006969999999999976,0.010289999999999994,0.00204,0.0003999999999999976,0.01150000000000001
7547,1,34.066660000000006,-320.0999999999999,-0.04132999999999999,-0.010339999999999998,0.005840000000000067,-0.014629999999999976,-0.008619999999999989,0.006229999999999999,0.009919999999999998,0.03650000000000003
7548,0,44.16667,-1274.9,-0.024669999999999997,-0.0002600000000000033,-0.01158999999999999,-0.023509999999999975,-0.013609999999999983,0.0046599999999999975,0.009999999999999995,0.024570000000000036
7549,1,-20.133339999999997,-41.36665999999991,0.00802,0.01362,-0.014660000000000006,-0.022239999999999982,0.0034500000000000086,0.003139999999999997,0.007529999999999995,-0.013440000000000007
7550,0,20.06666,195.33332999999993,0.00014000000000000123,-0.003840000000000003,-0.0031599999999999406,-0.01593,0.013690000000000008,0.0009799999999999948,0.0057900000000000035,-0.045640000000000014
7551,1,41.93333,-1266.0,-0.014230000000000007,0.012449999999999996,-0.03320999999999996,-0.03477000000000002,-0.006860000000000005,0.005659999999999998,0.011400000000000007,0.008760000000000046
7552,1,-18.133339999999997,849.8000000000002,0.004519999999999996,-0.005319999999999998,0.008090000000000042,-0.00040000000000001146,0.007440000000000002,0.0051099999999999965,0.005809999999999996,0.014950000000000019
7553,1,12.200000000000003,312.23333,-0.007739999999999997,-0.0011199999999999995,-0.0042200000000000015,-0.010919999999999985,0.005009999999999987,0.0025299999999999975,0.0038800000000000084,-0.010960000000000025
7554,0,-35.43333,252.39999999999998,0.028539999999999996,0.013850000000000001,-0.005759999999999987,0.011740000000000028,0.0017399999999999916,-0.002360000000000001,-0.006419999999999995,0.008570000000000022
7555,0,20.500000000000007,-1019.4333400000002,0.0011000000000000038,0.0026499999999999996,-0.008469999999999978,-0.0043199999999999905,-0.015300000000000008,-0.005760000000000001,-0.0009600000000000025,-0.03265999999999997
7556,1,-14.20000000000001,-90.53334000000018,0.018100000000000005,0.01149,-0.022190000000000043,-0.021529999999999994,0.01633000000000001,-0.002230000000000003,0.0012700000000000072,-0.058219999999999994
7557,0,-43.366659999999996,1320.3666699999999,0.016530000000000003,-0.011690000000000002,0.014639999999999986,0.017510000000000026,0.014540000000000025,-0.004909999999999998,-0.007339999999999999,-0.005980000000000041
7558,0,2.2666699999999906,-467.76667,0.0003999999999999976,-5.000000000000143e-05,0.0010999999999999899,0.0016399999999999748,-0.00012999999999999123,-0.0017300000000000024,-0.0013999999999999985,-0.0012300000000000089
7559,0,4.433329999999998,855.7,-0.017460000000000003,-0.0229,0.03317999999999999,0.01978000000000002,-0.0011099999999999999,0.004180000000000003,0.0018499999999999905,0.023139999999999994
7560,0,-18.76666,689.0666600000001,0.010970000000000008,-0.01337,0.013010000000000077,0.019089999999999996,0.010349999999999998,-0.0034000000000000002,-0.007730000000000001,-0.0121
7561,1,-50.10000000000001,453.9,0.04148,0.007949999999999999,-0.005859999999999976,0.015990000000000004,0.014649999999999996,-0.0063499999999999945,-0.010910000000000003,-0.009979999999999989
7562,1,16.66666,-167.23334000000023,-0.040010000000000004,-0.0037900000000000017,0.007920000000000038,-0.007299999999999973,-0.008779999999999982,0.003160000000000003,0.0033299999999999996,0.04807
7563,1,2.666659999999993,-115.56665999999996,-0.0025600000000000067,-0.0005999999999999998,0.0013699999999999823,0.0007599999999999829,-0.00031999999999998696,-0.0018600000000000005,-0.0010700000000000015,-0.01472000000000001
7564,1,39.233329999999995,-1240.83333,-0.020790000000000003,0.01724,-0.031059999999999977,-0.034399999999999986,-0.0019100000000000228,0.007960000000000002,0.011830000000000007,0.021460000000000035
7565,0,-19.60000000000001,16.366669999999885,0.020610000000000003,0.01106,-0.007480000000000042,0.004540000000000044,0.00763999999999998,0.0001799999999999996,-0.004320000000000004,0.030939999999999968
7566,0,-56.566669999999995,493.0,0.04629,0.01167,-0.015009999999999968,0.01765,0.019600000000000006,-0.011640000000000005,-0.018350000000000005,-0.03145999999999999
